Object ID,ZCTA5,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Black or African American Householder","Median Household Income in past 12 months, American Indian and Alaska Native Householder","Median Household Income in past 12 months, Asian Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder","Median Household Income in past 12 months, Some Other Race Householder","Median Household Income in past 12 months, 2 or More Races Householder","Median Household Income in past 12 months, Non-Hispanic White Householder","Median Household Income in past 12 months, Hispanic or Latino Householder",Total Households,Households with any self-employment income in past 12 months,Households with no self-employment income in past 12 months,Percent of households with any self-employment income,Shape Area,Shape Length
48239,10459,36005012701,108718,0,Census Tract 127.01,New York,Bronx County,21322.0,,12750.0,28981.0,21328.0,,,,,21208.0,,,21577.0,723.0,83.0,640.0,11.5,190054.83984375,2035.85651320768
48240,10459,36005012901,156381,0,Census Tract 129.01,New York,Bronx County,25204.0,,37713.0,22159.0,16281.0,36310.0,,,,25159.0,,,24836.0,1487.0,80.0,1407.0,5.4,273351.87890625,2864.0508400157696
48241,10465,36005013000,116144,0,Census Tract 130,New York,Bronx County,96938.0,,95391.0,131500.0,44250.0,46042.0,,,,116184.0,,96641.0,103393.0,463.0,33.0,430.0,7.1,202995.859375,2603.96638235619
48242,10456,36005013100,230967,0,Census Tract 131,New York,Bronx County,31250.0,,42300.0,30402.0,12609.0,37100.0,,,,30388.0,12266.0,2499.0,27388.0,1668.0,127.0,1541.0,7.6,403769.27734375,2638.68078784506
48243,10465,36005013200,604268,925089,Census Tract 132,New York,Bronx County,116013.0,,116638.0,128571.0,62902.0,136313.0,,,,117155.0,,84130.0,120507.0,2483.0,130.0,2353.0,5.2,1056027.2578125,5396.18469829902
48244,10456,36005013300,161159,0,Census Tract 133,New York,Bronx County,22182.0,19375.0,38070.0,20945.0,18333.0,32948.0,,22054.0,,21132.0,,,21188.0,2352.0,115.0,2237.0,4.9,281705.94921875,2306.73251948218
48245,10456,36005013500,167404,0,Census Tract 135,New York,Bronx County,22321.0,,,25586.0,17035.0,24631.0,,,,15393.0,,,20651.0,1415.0,124.0,1291.0,8.8,292660.25,2817.16890071038
48246,10465,36005013800,764724,3460640,Census Tract 138,New York,Bronx County,77586.0,,104904.0,100313.0,24034.0,116711.0,,78966.0,,48819.0,,82689.0,54483.0,1070.0,86.0,984.0,8.0,1326894.75,8061.92374502655
48247,10451,36005014100,177165,0,Census Tract 141,New York,Bronx County,31311.0,,33672.0,34356.0,18698.0,31186.0,,,,31506.0,,,33092.0,2182.0,137.0,2045.0,6.3,309693.84765625,2737.97271445901
48248,10451,36005014300,129711,0,Census Tract 143,New York,Bronx County,15455.0,,20625.0,13438.0,12452.0,16563.0,,,,21429.0,,,14884.0,642.0,6.0,636.0,0.9,226768.18359375,2708.16081933577
48249,10465,36005014400,401253,0,Census Tract 144,New York,Bronx County,22970.0,16520.0,37722.0,33750.0,13722.0,18438.0,,120223.0,,26897.0,,,22241.0,2289.0,40.0,2249.0,1.7,701353.359375,3974.3978883561
48250,10456,36005014500,181445,0,Census Tract 145,New York,Bronx County,29242.0,,26088.0,36587.0,,31563.0,,,,29659.0,,,27841.0,2380.0,133.0,2247.0,5.6,317248.94921875,2265.90520375475
48251,10456,36005014701,138921,0,Census Tract 147.01,New York,Bronx County,14927.0,,14676.0,20075.0,14315.0,16307.0,,,,14033.0,,,,1984.0,58.0,1926.0,2.9,242916.4921875,2062.22489845716
48252,10456,36005014702,116305,0,Census Tract 147.02,New York,Bronx County,21893.0,,22134.0,30513.0,13934.0,19712.0,,,,25109.0,,,26069.0,1659.0,56.0,1603.0,3.4,203384.71875,2077.3993578089603
48253,10456,36005014900,155523,0,Census Tract 149,New York,Bronx County,28008.0,,32778.0,36667.0,13657.0,27796.0,,,,24651.0,,,29693.0,1623.0,65.0,1558.0,4.0,271933.28515625,2373.97206142702
48254,10456,36005015100,208929,0,Census Tract 151,New York,Bronx County,33700.0,,32199.0,,41667.0,46992.0,,,,30486.0,11172.0,,30602.0,1732.0,132.0,1600.0,7.6,365296.69140625,3049.16812277025
48255,10465,36005015200,284310,0,Census Tract 152,New York,Bronx County,70917.0,,62083.0,90179.0,54750.0,74286.0,,,,69600.0,,62014.0,77232.0,910.0,39.0,871.0,4.3,497026.79296875,3556.6764062996294
48256,10459,36005015300,236838,0,Census Tract 153,New York,Bronx County,17438.0,,15395.0,40833.0,16804.0,15919.0,,,,23273.0,,,23466.0,1586.0,146.0,1440.0,9.2,414123.29296875,2940.3634016848305
48257,10460,36005015500,114986,0,Census Tract 155,New York,Bronx County,19850.0,,22679.0,19369.0,19583.0,36563.0,,46250.0,,19625.0,12500.0,,18947.0,1111.0,91.0,1020.0,8.2,201071.3046875,2354.6230111264003
48258,10459,36005015700,319009,0,Census Tract 157,New York,Bronx County,33864.0,,37379.0,23750.0,56380.0,35938.0,,,,32813.0,16667.0,,35466.0,1516.0,150.0,1366.0,9.9,557796.71875,3436.6027618747
48259,10465,36005015800,162176,0,Census Tract 158,New York,Bronx County,43661.0,,,68512.0,28953.0,,,,,80481.0,,29511.0,74821.0,469.0,7.0,462.0,1.5,283500.6875,2377.2475312228603
48260,10459,36005015900,103601,0,Census Tract 159,New York,Bronx County,17778.0,,26842.0,19107.0,12177.0,,,,,19018.0,,,18552.0,690.0,11.0,679.0,1.6,181094.4296875,1798.5643908026102
48261,10465,36005016000,494499,2614648,Census Tract 160,New York,Bronx County,74531.0,,95750.0,73750.0,51771.0,125125.0,,,,38548.0,,91453.0,60662.0,1561.0,53.0,1508.0,3.4,864599.6953125,4532.315872956579
48262,10460,36005016100,239125,0,Census Tract 161,New York,Bronx County,16121.0,70817.0,,17383.0,11406.0,27679.0,,,,13189.0,,,13941.0,1752.0,80.0,1672.0,4.6,418166.8671875,2637.33535188802
48263,10465,36005016200,180646,0,Census Tract 162,New York,Bronx County,81908.0,,80313.0,120625.0,29750.0,148036.0,,,,,96563.0,86875.0,77500.0,576.0,42.0,534.0,7.3,315824.4296875,2256.61850571113
48265,10465,36005016400,164578,0,Census Tract 164,New York,Bronx County,78646.0,,125147.0,82273.0,38967.0,,,,,83000.0,,71000.0,83600.0,433.0,54.0,379.0,12.5,287764.171875,2214.6683001432298
48266,10457,36005016500,196842,0,Census Tract 165,New York,Bronx County,25980.0,,26103.0,,,29375.0,,,,,,,25278.0,341.0,24.0,317.0,7.0,344291.94921875,3033.72507949144
48267,10465,36005016600,285611,0,Census Tract 166,New York,Bronx County,64792.0,,84265.0,66818.0,36591.0,,,92083.0,,57692.0,,44250.0,82500.0,773.0,144.0,629.0,18.6,499343.453125,3136.8345873781104
48268,10457,36005016700,205837,0,Census Tract 167,New York,Bronx County,31902.0,,31310.0,30896.0,43563.0,36414.0,,,,30568.0,33929.0,,30991.0,1033.0,94.0,939.0,9.1,359995.0390625,2651.64288457806
48269,10456,36005016900,92915,0,Census Tract 169,New York,Bronx County,28601.0,,35375.0,30357.0,,20455.0,,,,29219.0,,,34489.0,493.0,20.0,473.0,4.1,162487.62109375,2121.41880934959
48271,10451,36005017300,165273,0,Census Tract 173,New York,Bronx County,20464.0,,36494.0,19552.0,13220.0,,,,,16250.0,,,16509.0,2110.0,140.0,1970.0,6.6,288928.48828125,2984.1573937755998
