Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total households,All Households that Have One or More Types of Computing Devices,All Households that Have a Desktop or Laptop,Households that have a Desktop or Laptop with No Other Type of Computing Device,All Households that Have a Smartphone,Households that Have a Smartphone with No Other Type of Computing Device,All Households that Have a Tablet or Other Portable Wireless Computer,Households that Have a Tablet or Other Portable Wireless Computer with No Other Type of Computing Device,All Households that Have an Other Computer,Households that Have an Other Computer with No Other Type of Computing Device,Households that Have No Computer,"Percent of Households that Have No Computer, Smartphone, or Tablet",All Households with an Internet Subscription,Households with Dial-up with No Other Type of Internet Subscription,Households with Broadband of Any Type,All Households with Cellular Data Plan,Households with Cellular Data Plan with No Other Type of Internet Subscription,"All Households with Broadband such as Cable, Fiber Optic or DSL","Households with Broadband such as Cable, Fiber Optic or DSL with No Other Type of Internet Subscription",All Households with Satellite Internet Service,Households with Satellite Internet Service with No Other Type of Internet Subscription,Households with Other Service with No Other Type of Internet Subscription,Households with Internet Access without a Subscription,Households with No Internet Access,Percent of Households with No Internet Access,Shape Area,Shape Length
48228,10462,10462,36005009600,703455,15353,Census Tract 96,New York,Bronx County,774,656,517,78,527,78,372,20,100,10,118,15.2,577,0,577,347,64,482,197,46,12,0,54,143,18.5,1256916.20703125,5046.2527646485105
48229,10473,10473,36005009800,517450,0,Census Tract 98,New York,Bronx County,1682,1462,1299,97,1304,116,1009,0,295,0,220,13.1,1389,9,1380,775,35,1336,591,43,0,0,38,255,15.2,904578.65234375,4113.522147690979
48230,10465,10465,36005011000,2069297,452399,Census Tract 110,New York,Bronx County,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,3607727.734375,10518.245501281
48231,10474,10474,36005011502,336295,10037,Census Tract 115.02,New York,Bronx County,1250,959,735,139,767,31,670,39,237,14,291,23.3,873,0,873,530,81,754,285,87,16,0,37,340,27.2,587784.43359375,3064.39179160365
48232,10474,10474,36005011700,1357971,431176,Census Tract 117,New York,Bronx County,545,476,362,23,429,41,262,0,82,0,69,12.7,402,0,402,177,48,354,220,10,0,0,20,123,22.6,2391680.265625,7067.76299011948
48233,10465,10465,36005011800,989676,2876319,Census Tract 118,New York,Bronx County,1605,1403,1261,129,1238,52,929,0,200,0,202,12.6,1355,8,1347,776,152,1195,563,13,0,0,14,236,14.7,1890836.83203125,11249.0442814835
48234,10459,10459,36005011900,166999,0,Census Tract 119,New York,Bronx County,1920,1566,1122,13,1499,278,861,17,222,0,354,18.4,1336,0,1336,860,256,1003,444,21,13,0,23,561,29.2,291913.44921875,2224.33813512231
48235,10459,10459,36005012101,115615,0,Census Tract 121.01,New York,Bronx County,926,703,566,73,609,64,429,5,37,0,223,24.1,659,0,659,478,91,514,125,92,19,4,56,211,22.8,202128.125,1772.99151230862
48236,10459,10459,36005012102,49643,0,Census Tract 121.02,New York,Bronx County,511,463,342,20,434,63,295,9,33,0,48,9.4,360,0,360,280,17,325,62,31,18,0,21,130,25.4,86781.94921875,1605.2300759498598
48237,10459,10459,36005012300,303328,0,Census Tract 123,New York,Bronx County,1499,1247,803,31,1141,210,797,33,358,18,252,16.8,1010,0,1010,632,123,870,366,104,0,0,47,442,29.5,530310.2734375,4718.59805070936
48238,10459,10459,36005012500,169640,0,Census Tract 125,New York,Bronx County,1348,1211,851,29,1106,108,879,0,105,0,137,10.2,998,0,998,662,95,903,304,6,0,0,35,315,23.4,296580.72265625,2304.97379088801
